User input,Response
What material is this made of?,True
Is this suitable for winter?,True
Does this come in size medium? Is it available in New York?,True
"Compare them, list the pros and cons of these clothing items",True
which one is cheaper,True
What is the rating?,True
size large?,True
Zara,False
Can you suggest me something to wear for a party?,False
I would like some sustainable clothing options.,False
Ok I will buy the first one,False
Can you give me a clothing recommendation?,False
I want high-end fashion brands that have comfortable wear.,False
I want a men's collection,False
