business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
-3GD07waps96fB_okEwFqw,Brits Fish & Chips,6940 77 Street NW,Edmonton,AB,T6E 6V2,53.5065155227,-113.445661068,3.5,34,1,"{'NoiseLevel': 'quiet', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'BusinessParking': '{garage: False, street: False, validated: False, lot: False, valet: False}', 'Ambience': '{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: False}', 'Caters': 'False', 'WiFi': 'no', 'HasTV': 'True', 'BikeParking': 'True', 'Alcohol': 'none', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'HasDelivery': 'False', 'HasReservations': 'False', 'HasTakeOut': 'True', 'Attire': 'casual', 'GoodForGroups': 'True', 'PriceRange': '2', 'HasTableService': 'False'}","Restaurants, British","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}"
-4lNMmoW7gRxkH0c2dfXfA,Ripe Tomato,10358 82 Avenue NW,Edmonton,AB,T6E 1Z8,53.5183696,-113.4969888,4.0,5,1,"{'BYOB': 'False', 'WheelchairAccessible': 'False', 'HasTV': 'True', 'WiFi': 'free', 'OutdoorSeating': 'False', 'Alcohol': 'beer_and_wine', 'HasDelivery': 'True', 'HasTableService': 'True', 'HasTakeOut': 'True'}","Pizza, Restaurants","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-23:0'}"
-4qgeqxb2hKe3dUUH__j8Q,T&T Supermarket,8882 170th Street,Edmonton,AB,T5T 4M2,53.5235271995,-113.6239112789,4.0,48,1,"{'BusinessParking': '{garage: False, street: False, validated: False, lot: True, valet: False}', 'NoiseLevel': 'loud', 'WiFi': 'no', 'HasTV': 'False', 'BikeParking': 'True', 'GoodForKids': 'True', 'Alcohol': 'none', 'Caters': 'False', 'Ambience': '{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True}', 'OutdoorSeating': 'False', 'PriceRange': '2', 'HasDelivery': 'False', 'HasTakeOut': 'True', 'HasReservations': 'False', 'GoodForGroups': 'True', 'Attire': 'casual'}","Ethnic Food, Imported Food, International Grocery, Chinese, Grocery, Food, Restaurants, Specialty Food","{'Monday': '9:0-21:30', 'Tuesday': '9:0-21:30', 'Wednesday': '9:0-21:30', 'Thursday': '9:0-21:30', 'Friday': '9:0-21:30', 'Saturday': '9:0-21:30', 'Sunday': '9:0-21:0'}"
-5ivHc7R7F_fHxTtxGvlgA,Mt Fuji Teppanyaki,102-9940 137 Avenue,Edmonton,AB,T5E 5P0,53.600886,-113.495432,3.5,23,1,"{'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'GoodForKids': 'True', 'NoiseLevel': 'average', 'BusinessParking': '{garage: None, street: None, validated: None, lot: True, valet: False}', 'Ambience': '{touristy: None, hipster: None, romantic: None, intimate: None, trendy: None, upscale: False, classy: False, casual: True}', 'OutdoorSeating': 'None', 'Attire': 'casual', 'HasReservations': 'False', 'GoodForGroups': 'True', 'HasTakeOut': 'True', 'HasTableService': 'False', 'PriceRange': '2'}","Restaurants, Japanese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-20:0'}"
-9sGD5Fi-DVwR6BsBAtu0w,Little Caesars Pizza,15349 Castledowns Rd,Edmonton,AB,T5X 3Y7,53.6147072,-113.5143648,2.0,6,1,"{'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'Alcohol': 'none', 'NoiseLevel': 'average', 'HasTV': 'True', 'GoodForKids': 'True', 'OutdoorSeating': 'None', 'HasTakeOut': 'None', 'GoodForGroups': 'True', 'HasReservations': 'False', 'Attire': 'casual', 'HasTableService': 'False', 'HasDelivery': 'False'}","Restaurants, Pizza","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}"
-DlF6neBa1HKx7aFi3ZxOg,Reinette Cafe & Patisserie,301 Woodvale Road W,Edmonton,AB,T6L 3Z7,53.4677492195,-113.4313082576,4.5,44,1,"{'Caters': 'True', 'NoiseLevel': 'quiet', 'WiFi': 'free', 'BikeParking': 'False', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'HasTV': 'True', 'Ambience': '{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: False, casual: True}', 'GoodForKids': 'True', 'BusinessParking': '{garage: False, street: None, validated: False, lot: None, valet: False}', 'OutdoorSeating': 'False', 'PriceRange': '1', 'HasTakeOut': 'True', 'HasTableService': 'True', 'GoodForGroups': 'True', 'HasReservations': 'False', 'Attire': 'casual', 'HasDelivery': 'False'}","Coffee & Tea, Cafes, Restaurants, Food, Desserts","{'Monday': '0:0-0:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '11:0-17:0'}"
-IQsXtexaUmIfSBkhBZrKQ,Chop Steakhouse & Bar,1011 Ellerslie Road SW,Edmonton,AB,T6X 0J3,53.423937,-113.490861,4.0,74,1,"{'NoiseLevel': 'average', 'GoodForKids': 'False', 'Alcohol': 'full_bar', 'HasTV': 'True', 'BusinessParking': '{garage: False, street: False, validated: False, lot: True, valet: False}', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'Caters': 'False', 'HappyHour': 'True', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: True, brunch: False, breakfast: False}', 'WiFi': 'free', 'Music': '{dj: False, background_music: False, no_music: False, jukebox: False, live: False, video: False, karaoke: False}', 'Ambience': '{hipster: False, casual: None, touristy: False, trendy: True, intimate: None, romantic: False, classy: True, upscale: None}', 'HasReservations': 'True', 'HasTakeOut': 'False', 'GoodForGroups': 'True', 'PriceRange': '3', 'Attire': 'casual', 'HasDelivery': 'True'}","Bars, Lounges, Seafood, Steakhouses, Restaurants, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-0:0', 'Saturday': '15:0-0:0', 'Sunday': '15:0-22:0'}"
-L3E_h6OUJ7kRW2EDMFESQ,Dairy Queen Grill & Chill,1223 Windermere Way SW,Edmonton,AB,T6W 2P3,53.4361634086,-113.615436852,2.0,8,1,"{'GoodForKids': 'True', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'BikeParking': 'True', 'HasTV': 'True', 'OutdoorSeating': 'True', 'DriveThru': 'True', 'HasTakeOut': 'True', 'PriceRange': '2', 'HasReservations': 'True', 'HasDelivery': 'True', 'GoodForGroups': 'True', 'Attire': 'casual'}","Food, Restaurants, Fast Food, Ice Cream & Frozen Yogurt","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-22:0'}"
-RS_7SU42foCTItx4f3C6A,Subway,"Newton Place University of Alberta, 8511 112th St",Edmonton,AB,T6G 2L7,53.5214101,-113.5203104,3.0,8,1,"{'OutdoorSeating': 'False', 'Alcohol': 'none', 'GoodForKids': 'True', 'BusinessParking': '{garage: False, street: False, validated: False, lot: False, valet: False}', 'Ambience': '{romantic: False, intimate: False, classy: False, hipster: False, touristy: False, trendy: False, upscale: False, casual: False}', 'NoiseLevel': 'average', 'WiFi': 'free', 'HasTV': 'True', 'PriceRange': '1', 'Attire': 'casual', 'HasTakeOut': 'True', 'HasDelivery': 'False', 'HasReservations': 'False', 'GoodForGroups': 'True'}","Sandwiches, Restaurants, Fast Food","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '8:0-22:0', 'Sunday': '9:0-22:0'}"
-XFGy2lcs0EVEZWZEYLi6g,OPA! of Greece Southgate Centre,"Southgate Centre, 11011 51 Avenue NW",Edmonton,AB,T6H,53.4839288978,-113.5114805995,4.0,9,1,"{'HasReservations': 'False', 'HasDelivery': 'False'}","Restaurants, Mediterranean, Greek, Fast Food","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '9:30-18:30', 'Sunday': '11:0-17:0'}"
