business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,optional,categories,hours
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,6187 Currents Drive NW,Edmonton,AB,T6W 0L9,53.436403,-113.604288,4.0,10,1,"{'BusinessParking': '{garage: False, street: True, validated: False, lot: False, valet: False}', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'Caters': 'False', 'OutdoorSeating': 'False', 'Alcohol': 'beer_and_wine', 'WiFi': 'free', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'False', 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Burgers","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
GpFRwCHN0RI8yFbcfXjfUg,V Sandwiches,10127 100A Street NW,Edmonton,AB,T5J,53.5417173,-113.4919398,3.5,9,1,"{'RestaurantsAttire': 'casual', 'BikeParking': 'True', 'Ambience': '{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: False}', 'BusinessParking': '{garage: False, street: False, validated: False, lot: False, valet: False}', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'OutdoorSeating': 'None', 'WiFi': 'no', 'HasTV': 'True'}","Vietnamese, Sandwiches, Restaurants","{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30'}"
lPPYZr1_jx0XeW-xR9WJtw,DOSC,"10190 - 104 Street NW, Main Floor",Edmonton,AB,T5J 1A7,53.5428720873,-113.4995122836,4.0,87,1,"{'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'Ambience': '{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: True, casual: False}', 'CoatCheck': 'True', 'Smoking': 'no', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'GoodForKids': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsGoodForGroups': 'True', 'DogsAllowed': 'True', 'WiFi': 'free', 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'WheelchairAccessible': 'False', 'BestNights': '{monday: False, tuesday: False, friday: True, wednesday: False, thursday: False, sunday: False, saturday: False}', 'Music': '{dj: False, live: None, jukebox: None, video: False, background_music: False, karaoke: None, no_music: False}', 'OutdoorSeating': 'False', 'BYOB': 'False', 'HappyHour': 'True', 'Alcohol': 'full_bar', 'HasTV': 'False', 'BusinessParking': '{garage: False, street: True, validated: False, lot: False, valet: False}'}","Bars, Cocktail Bars, Coffee & Tea, Food, Restaurants, Cafes, Steakhouses, Nightlife, Tapas/Small Plates","{'Monday': '8:0-23:0', 'Tuesday': '8:0-23:0', 'Wednesday': '8:0-23:0', 'Thursday': '8:0-23:0', 'Friday': '8:0-23:0', 'Saturday': '8:0-23:0', 'Sunday': '8:0-23:0'}"
jZoeTGRfhG9n_Jo6VMqwxw,Sushi Wasabi,5714 111 Street NW,Edmonton,AB,T6H 3G1,53.4945772799,-113.517946463,4.0,57,1,"{'Alcohol': 'beer_and_wine', 'RestaurantsReservations': 'True', 'RestaurantsAttire': 'casual', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': 'free', 'NoiseLevel': 'average', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'HasTV': 'True', 'Ambience': '{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True}', 'BusinessParking': '{garage: False, street: False, validated: False, lot: True, valet: False}', 'GoodForMeal': '{dessert: False, latenight: False, lunch: None, dinner: True, brunch: False, breakfast: False}', 'Caters': 'False'}","Restaurants, Sushi Bars, Japanese","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30', 'Sunday': '17:0-20:30'}"
RuBWR6CAgVi7iWR8LHUi6A,Lee House,10704 97 Street NW,Edmonton,AB,T5H 2L9,53.551925,-113.4896661,4.0,30,1,"{'RestaurantsTableService': 'True', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': 'casual', 'NoiseLevel': 'average', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'Caters': 'False', 'BikeParking': 'True', 'BusinessParking': '{garage: False, street: False, validated: False, lot: False, valet: False}', 'RestaurantsPriceRange2': '2', 'Alcohol': 'beer_and_wine', 'HasTV': 'True', 'Ambience': '{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: True, casual: False}', 'RestaurantsDelivery': 'True'}","Barbeque, Asian Fusion, Restaurants, Korean","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}"
qS4CaO_u_vMrTl31XJto1A,Szechuan Paramount Restaurant,12901 97 Street NW,Edmonton,AB,T5E 4C2,53.5878652,-113.4915257,3.0,25,1,"{'Alcohol': 'beer_and_wine', 'RestaurantsAttire': 'casual', 'BusinessParking': '{garage: False, street: False, validated: False, lot: True, valet: False}', 'Ambience': '{touristy: False, hipster: False, romantic: False, intimate: False, trendy: False, upscale: False, classy: False, casual: True}', 'RestaurantsTakeOut': 'True', 'NoiseLevel': 'average', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'False', 'WiFi': 'no', 'GoodForMeal': '{dessert: False, latenight: False, lunch: True, dinner: True, brunch: False, breakfast: False}', 'RestaurantsPriceRange2': '2', 'HasTV': 'True'}","Buffets, Restaurants, Chinese","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '12:0-22:0'}"
QehLpDI-ZdJJLu5dobDdxg,Mundare Sausage House,4824 118 Avenue NW,Edmonton,AB,T5W 1B4,53.570634,-113.416455,4.0,7,1,"{'RestaurantsReservations': 'False', 'BusinessParking': '{garage: False, street: False, validated: False, lot: True, valet: False}', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}', 'RestaurantsTakeOut': 'True'}","Ukrainian, Restaurants","{'Monday': '9:0-16:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '8:30-15:0', 'Saturday': '9:0-17:0'}"
_v8Ccd70N6uXw8muQeyhOA,Moxie's Grill & Bar,13551 St Albert Trail,Edmonton,AB,T5L 5E7,53.5978212,-113.5706935,3.5,52,1,"{'HasTV': 'True', 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'BusinessParking': '{garage: False, street: False, validated: False, lot: True, valet: False}', 'Ambience': '{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True}', 'Alcohol': 'full_bar', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: True, brunch: False, breakfast: False}', 'HappyHour': 'True', 'WiFi': 'free', 'RestaurantsPriceRange2': '2', 'Music': '{dj: False, background_music: False, no_music: False, jukebox: False, live: False, video: False, karaoke: False}', 'GoodForKids': 'True'}","Restaurants, Canadian (New), Steakhouses, Nightlife, American (New), American (Traditional), Bars, Lounges","{'Monday': '0:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '10:0-22:0'}"
CyGxCUdTRGUPKGOgzC6Zug,Hudsons Canada's Pub,10307 Whyte Avenue,Edmonton,AB,T6E 1Z9,53.5178491,-113.4951883,3.5,54,1,"{'GoodForKids': 'False', 'RestaurantsPriceRange2': '2', 'NoiseLevel': 'loud', 'Alcohol': 'full_bar', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'BusinessParking': '{garage: False, street: True, validated: False, lot: False, valet: False}', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': 'casual', 'GoodForDancing': 'True', 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'True', 'Smoking': 'no', 'RestaurantsTableService': 'True', 'Music': '{dj: False, live: False, jukebox: None, video: False, background_music: False, karaoke: False, no_music: False}', 'BestNights': '{monday: False, tuesday: False, wednesday: False, thursday: False, friday: True, saturday: True, sunday: True}', 'HappyHour': 'True', 'WiFi': 'free', 'Ambience': '{hipster: None, casual: True, touristy: None, trendy: False, intimate: False, romantic: False, classy: False, upscale: False}', 'GoodForMeal': '{breakfast: False, brunch: None, lunch: None, dinner: False, latenight: True, dessert: False}'}","Chicken Wings, Canadian (New), Restaurants, Sports Bars, Pubs, Bars, Burgers, Nightlife","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
eJFw8xWcqyAno0SclR4uzg,Madison's Grill,10053 Jasper Avenue NW,Edmonton,AB,T5J 1S5,53.5407845,-113.4922256,4.0,51,1,"{'RestaurantsReservations': 'True', 'RestaurantsAttire': 'dressy', 'Alcohol': 'full_bar', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'False', 'RestaurantsTakeOut': 'False', 'BusinessParking': '{garage: False, street: True, validated: False, lot: False, valet: False}', 'NoiseLevel': 'quiet', 'Caters': 'True', 'OutdoorSeating': 'True', 'Ambience': '{touristy: False, hipster: False, romantic: True, intimate: False, trendy: False, upscale: True, classy: True, casual: False}', 'HappyHour': 'True', 'GoodForMeal': '{dessert: False, latenight: False, lunch: False, dinner: True, brunch: False, breakfast: False}'}","American (New), Restaurants, Canadian (New), Breakfast & Brunch","{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-21:0'}"
