review_id,user_id,item_id,stars,useful,funny,cool,text,date
L0jv8c2FbpWSlfNC6bbUEA,bFPdtzu11Oi0f92EAcjqmg,IDtLPgUrqorrpqSLdfMhZQ,5.0,0,0,0,"What a great addition to the Funk Zone!  Grab a bite, grab some tastings, life is good. Right next door to the Santa Barbara Wine Collective, in fact it actually shares the same tables.  We had a fabulous savory croissant.",2016-10-13 22:50:47
mMwnX1vc3tQUeDNS2wiKFw,f10WH1fXhy-68r4AEEhAWA,9OG5YkX1g2GReZM0AskizA,4.0,0,0,0,"Great bar Happy Hour 4-7 every day. Wine & Drafts $3, $5 pizza, $4.50 apps. To-go Dinners and lunches are very reasonable and fast. Staff are as friendly as it gets.",2016-01-30 03:16:46
uwPhE21CZLlp1kkSMPvvYw,5OnQqP3q2_9auNdDKpLdsw,WKMJwqnfZKsAae75RMP6jA,3.0,0,0,0,"So much to like about this place--the beautiful Mercer Building location, the spaciousness, the lovely, friendly baristas. But there are a couple of important cons for me. Biggest being, the music is constant and too loud, ruining everything you go to a coffee shop to do: read, work, reflect, or enjoy a good conversation. When I asked for it to be turned down, they told me they can't--it just plays at one level all the time, and the speakers  are everywhere so you can't get away from it. It sucks.

Secondly, if you're a tea drinker, you're out of luck. They don't serve the tea in pots, but huge, sloppy individual filters--it makes your beverage totally ungainly, hard to drink and is really off putting.

Pros: gluten free goodies and yummy Italian sodas. I'd love to spend more time here, but the music usually drives me out after 10 minutes.",2012-11-06 23:35:15
6odPSjoPWOyeDQpgJbdGaA,jLr7vcDg43TqS2OK4ROvPQ,oaboaRBUgGjbo2kfUIKDLQ,5.0,0,0,0,Super tasty and enormous portions. Some unique flavors too. Not much else to say but an amazing ice cream store that others should try to emulate.,2016-03-30 23:22:54
0UnK7dQKT3ogC2sBCeYWLA,Rhk8owk3uhFTvzJdYbQ6Xg,vje0KIiE7vtpx7JzmBx5LQ,5.0,0,0,0,"I went to the pearl for my birthday and every detail of the experience was awesome!  The food, the wine and the service were all impeccable!  We didn't realize the time and were chatting away after closing time and the staff never made us feel rushed.",2015-10-08 13:21:55
LFpaQzYkP5Pzm5lEjJpTRw,Ttb21DpWqphQMNSS5TXgMA,IDtLPgUrqorrpqSLdfMhZQ,5.0,0,0,0,"Possibly the best breakfast sandwich EVER.  On a biscuit!  Oh my gosh, it was so good!",2017-01-15 00:36:04
8x4WVgu2t2MD48_ftQXrLw,4KNOhaUhegpmZ6sWwJtRTw,ppFCk9aQkM338Rgwpl2F5A,4.0,0,0,0,"Wawa is like a beacon in a cold, dark world.  I grew up around Sheetz locations, but I have to admit that I prefer Wawa.  The sandwiches are really good, and they have the typical snacks/drinks you would expect from a convenience store.  This particular location is not quite as friendly as the one I go to near the office, but whatever.  I can still walk out with all of my snacking requirements.",2014-01-17 15:12:23
NhbTHrDA_z1QF6L6BhmFiA,P7UyZFw5ynnueQoF0YDEkg,TLZ3-eDPLhUzfsWO4ad6Ug,4.0,0,0,0,"Excellent tasting Po-Boys but it could have had mire catfish, pretty skimpy.
Service, very good.",2018-08-23 21:00:53
Q3fPo_x6xKxafAzy1hFITg,ha2Lv7WnxvdYnRsqwL1apQ,IDtLPgUrqorrpqSLdfMhZQ,4.0,0,0,0,"Pricey ( a ham and cheese croissant was $5.50)  as with anywhere in Santa Barbra but very delicious. Cute space ( a bit hard to find ). The green eggs and ham  breakfast biscuit is to die for.  ($10 I think) The Santa Barbra tri tip sandwich was excellent! Cold brew coffee was good. Lots of good choices in the grab and go section, and our salami and pesto sammy was also great. I'd go back!",2018-07-17 00:20:41
zj-LN7a09KdkTSWIi8rMkw,nRtZD0_psZhnHTG8pY08eg,oaboaRBUgGjbo2kfUIKDLQ,5.0,3,1,0,"This place was amazing! I only tried their ice cream I really wanted to try the hot chocolate but didn't get a chance :(. Well the ice cream was great! The first night I came here I got a brownie sundae all for myself, brownie on the bottom and three scoops of ice cream topped with whipped cream and nuts. I finished it all happily! I chose pumpkin cake flavor which was delicious and smooth. I also got pralines and cream that was better than other praline ice creams. The Tennessee fudge was vanilla with fudge swirled it was good not too special. 

The next time I came I got nutter butter ice cream that was really good had cookie pieces in it! I got the hot fudge topping over it and that was a great combination. 

The service was great the workers were really nice and patient with me haha indecisive! They would joke around with me and let me sample all I wanted. Also no judgement for eating all the brownie sundae alone :) lol",2015-11-19 03:51:39
tBFid2ZmiZWYuks1CgS7Ww,PUblFIB59_lpUqwesVwWEw,vje0KIiE7vtpx7JzmBx5LQ,5.0,0,0,0,"There  aren't  enough  stars  to  review  The  Pearl ! Food , service  and  ambiance . I  enjoy  every  minute  of  every  visit ! Not  just  dinner , a genuine  dining  experience  ! Pamper  yourself !",2017-02-09 16:15:07
z_fgvINjKZCw5RgByaTxxw,dldfg-X_QbBkhR2DOsQFWg,QdN72BWoyFypdGJhhI5r7g,5.0,0,0,0,"This place is top notch, with phenomenal service and such fantastic ambiance- how can you go elsewhere? All of the food looked and smelled amazing. I love how creative everything was.
I CANT STOP DAYDREAMING ABOUT THE FOOD. Hands down, best brunch experience of my life. I don't even like french toast usually and theres was by far the most delicious food thats ever entered my mouth. I am literally drooling while writing this.
The chicken and waffles were unreal and standout A++++. 
I love the ""flinstones pushup-pop"" drink so creative and clever.
Even the deviled eggs were the best I've personally ever had. They do everything right even when it comes to the music. It was super fun and such a great experience! Ignore any review thats not 4 stars because they must be delusional.",2016-11-10 16:52:33
BeUP5QUgnF3CHelCJtw1Lw,tbllMvbVFAPO2E7n19nBXA,oaboaRBUgGjbo2kfUIKDLQ,4.0,0,0,0,We stopped here's on the recommendation of our shuttle driver.  The red velvet ice cream is wonderful!! Pieces of cake. Creamy goodness.  Yum!,2014-09-09 18:19:48
VVvmX64sw8QS837kuQIXCw,K6GM4-fMcVPG77lzgpOHeQ,oaboaRBUgGjbo2kfUIKDLQ,4.0,1,0,0,"Skip the fancy desert after dinner to go here, it's an excuse to walk around Broadway.  The homemade ice cream is really good.  Cake Mix is my favorite.   Great place to top off a date.",2009-03-01 10:27:17
rkDzWtbZ2_en8HZDCUbF1Q,-TbX3AYOIEyo6-b67MT8eA,9OG5YkX1g2GReZM0AskizA,1.0,0,0,0,"Please, this place makes a semi-new menu and raised their prices. The food is very mediocre. i just started cooking and i make a couple pasta dishes which include spaghetti and lemon chicken piccatta.  As a beginner in cooking I can judge this place's food is horrible. A day after the food looked like it had been out for weeks. Good food can last for a day or two.When i went in there to eat the hostess was nice. first, we ordered a glass a wine. he poured the wine, missed the glass and some spilled on the table and he just ignored it. hello. idiot. waitressing 101. go back. well needless to say. not worth your money at all. ive been there during happy hour with girlfriends and its fine. not a 'high end' restaurant by any means even though they try to make it that way.",2013-04-11 02:40:03
